Title,Authors,Citations_counts,Year,Journal,Abstract
Scientific writing as a social act: A review of the literature of the sociology of science,C Bazerman,213,2019,New essays in technical and scientific …,"This chapter reviews the literature in the sociology of science to explore what light it may shed on scientific and technical writing and to see what questions it may raise for future study. It examines the major models of scientific activity and community in order to define the role that communication takes in each. The discipline of sociology of science has done much to map out the structure of the scientific community and its activities. Even the traditional view of scientific writing, stemming from F. Bacon and fostered by the founding of the Royal …"
"Benefits, motivations, and challenges of international collaborative research: A sociology of science case study","J Dusdal, JJW Powell",177,2021,Science and Public Policy,"Contemporary science is marked by expanding and diverse forms of teamwork. Collaboration across organizational and cultural boundaries extends the possibilities of discovery. International collaborative research projects often provide findings beyond what one team could achieve alone. Motivated to maintain existing relationships and grow their scientific network, researchers increasingly collaborate, despite often unrecognized or underappreciated costs, since such projects are challenging to manage and carry out. Rarely studied in-depth and longitudinally, the perspectives of scientific team members are crucial to better understand the dynamics of durable collaboration networks. Thus, this retrospective case study of a sociology of science project applies the novel method of autoethnography to examine teamwork benefits, motivations, and challenges. Key challenges found include spatial distance and differences of culture, language, and career stage. This study, spanning North America, Europe, the Middle East, and East Asia, focused on collaborators’ characteristics and evolving perceptions of team dynamics over a decade."
Organisation matters: towards an organisational sociology of science communication,S Rödder,46,2020,Journal of Communication Management,"This paper looks at science communication through an organisational lens with the aim of assessing the relevance of different organisational forms for science communication.
The paper explores science communication in different organisational forms. Based on conceptual considerations and by reviewing existing empirical literature, the paper selects and compares three organisational forms of science communication: the editorial office of a daily newspaper, the press office of a university and the Science Media Centre.
The paper shows the relevance of organisation for science communication by comparing three organisational forms. The first two, the science news desk and the press office, have the character of a sub-system of an organisation, while the third, the Science Media Centre, forms its own organisation. The paper shows how the respective set-up shapes science-media contacts with a focus on the occurrence and resolution of conflicts.
The paper proposes a conceptual framework for studying science communication through an organisational lens but leaves comparative empirical studies of all types to future research. Yet, it outlines and compares implications of the formal organisation of science communication from a conceptual point of view.
The findings provide information on the structural impact of different organisational forms on science communication and point to where conflicting expectations, and thus potential conflicts, are most likely to occur in each case. A reflection of structurally conflicting expectations and how they can be overcome in specific situations is of high practical value for all science communication activities.
Organisational theorists have long argued that organisations are the key to understanding society. Despite their undoubted relevance, however, organisations and their influence on science communication have so far been much less analysed – both conceptually and empirically – than its contents, its practices and its impacts on public understanding, public policy, and on science and scientists. The paper contributes to the emerging field with conceptual considerations towards an organisational sociology of science communication."
"Science education in the era of a pandemic: How can history, philosophy and sociology of science contribute to education for understanding and solving the Covid-19 …",S Erduran,159,2020,Science & Education,"In late February 2019, when the Covid-19 crisis began to spread across South Korea, my doctoral student Wonyong Park was there for his data collection in secondary schools. Unphased by the growing national epidemic at the time, he remarked:“As a Cambridge student, Newton once had to return home due to the plague outbreak in England, during which he made his greatest discoveries! However, as the situation develops, I promise I’ll keep healthy and make this time most useful for me.” Now, about a month later, the entire planet finds itself in the midst of a pandemic.
Among the countries worst hit by the pandemic is Italy where one of our Associate Editors, Olivia Levrini, is based. During a recent exchange, she raised the question of how history, philosophy and sociology of science (HPS) might contribute to science education in the era of a pandemic. Given the novelty of the issues generated by a major health emergency, Science & Education invites colleagues to submit papers broadly addressing the following theme:“Science Education in the Era of a Pandemic: How can History, Philosophy and Sociology of Science Contribute to Education for Understanding and Solving the Covid-19 Crisis?” Past pandemics can point to not only the development of scientific explanations in time but also the societal contexts that harboured them. Consider the stigma associated with syphilis characterised as a French or an Italian disease depending on where the disease was observed in the fifteenth century; the framing of cholera in the colonial discourse in Asia and the impact of the disease on global trade in the nineteenth century; or the mistaken causality drawn between a country and an outbreak in the case of the Spanish flu in the early twentieth century. History is replete with countless lessons about pandemics in terms of their societal, ethical as well as their scientific and medical dimensions."
"On methods, ontologies, and representation in the sociology of science: Where do we stand?",JH Fujimura,160,2024,Social organization and social process,"We are weak today in ideal matters because intelligence is divorced from aspiration. The bare force of circumstance compels us onwards in the daily detail of our beliefs and acts, but our deeper thoughts and desires turn backwards. When philosophy shall have co-operated with the course of events and made clear and coherent the meaning of the daily detail, science and emotion will interpenetrate, practice and imagination will embrace. Poetry and religious feeling will be the unforced flowers of life."
How can governance change research content? Linking science policy studies to the sociology of science,J Gläser,65,2019,Handbook on science and public policy,"Although science studies routinely assume that governance can change research content, we know little about how it does that. Science policy actors, commercial interests and civil society actors utilise a variety of governance instruments and processes to change the directions or to improve the quality of research. Both can be achieved only by making researchers select different goals and approaches, that is, change the content of their work.
A recent review returned very few studies that investigated the impact of governance on research content and even fewer that convincingly established causality (Gläser and Laudel 2016). Empirical studies of competitive project funding focused on the validity and reliability of selection procedures and largely shunned the investigation of pre-emptive adaptation of project content or effects of selective funding on the dynamics of research fields (ibid: 122–125). The governance of emerging fields has been studied with the fields’ growth as the only dependent variable approximating content (ibid: 126–129). Most studies of the effects of performance-based funding limit themselves to changes in publication behaviour, whose causal ascription to performance-based funding can charitably be described as tenuous (ibid: 129–134; Gläser 2017). Finally, studies of academy–industry links have produced some interesting results on the impact of such links on the diffusion of knowledge (Evans 2010a; b) and on the increased likelihood of findings that are consistent with an industrial funder’s interests (Krimsky 2013) and on the impact of such links on the diffusion of knowledge (Evans 2010a; b). However, the empirical evidence of many studies is contradictory, which has led to a call for more in-depth studies of academy–industry links (Krimsky 2013). Most of these findings do not lend themselves to theoretical generalisation because they draw on specific cases in particular fields. More importantly, theoretical progress cannot be achieved with the current implicit division of labour between subfields of science studies. Science policy"
The emergence of technoscientific fields and the new political sociology of science,"B Raimbault, PB Joly",14,2021,Community and Identity in Contemporary …,"Although use of the term synthetic biology in the scientific literature dates back to the early twentieth century, contemporary synthetic biology started to bloom around the turn of the new millennium and has been presented as novel—perhaps even revolutionary—and ‘cool’. Like most emerging fields, synthetic biology has been defined in numerous different ways by members of a self-selected community in the making. The European Commission (EC) opinion on synthetic biology (2014) identifies 35 published definitions and proposes the following:‘SynBio is the application of science, technology and engineering to facilitate and accelerate the design, manufacture and/or modification of genetic materials in living organisms (p5)’. Synthetic biologists suggest that compared to modern biotechnology (eg genetic engineering, genomics, high throughput biology, etc.), the epistemic novelty of synthetic biology (Synbio) lies in the systematic use of engineering approaches to intentionally design artificial organisms. Among the numerous analyses of Synbio, many focus on the role of actors active in the field’s construction. The American civil engineer Drew Endy, who originally summarised Synbio as aimed ‘to make biology easier to engineer’, is often invoked as the heroic entrepreneur who played a key role in the emergence of this new field (Campos 2013). Social scientists have investigated the emergence of Synbio using mostly ethnographic approaches or in collaborations with Synbio scientists. The field of enquiry then becomes the (American) lab and/or boundary spaces such as the International Genetically Engineered Machine (iGEM) competition, a very popular"
Recoding liberalism: philosophy and sociology of science against planning,M Beddeleem,34,2020,Nine lives of neoliberalism,"In the wake of the global financial crisis, the resilience of contemporary neoliberalism confounded its detractors who expected its “zombie economics” and obsolete policy models to give way to new horizons of expectations. Usually, these predictions focused either on a superficial reading of the defeat of neoliberalism-qua-austerity or insisted that its systemic flaws had ruined any remnant of its legitimacy.'More skeptical authors remarked that, far from suffering from a sudden collapse, neoliberalism has never been more palpable than in times of crisis, when it reinvents itself by metabolizing the criticisms leveled at it or by entrenching its dominance over the policy debate.”"
"Science education in the light of COVID-19: The contribution of history, philosophy and sociology of science",MJ Reiss,110,2020,Science & Education,"In this position paper, I examine how the history, philosophy and sociology of science (HPS) can contribute to science education in the era of the COVID-19 pandemic. I discuss shortcomings in the ways that history is often used in school science, and examine how knowledge of previous pandemics might help in teaching about COVID-19. I look at the potential of issues to do with measurement in the context of COVID-19 (e.g. measurement of mortality figures) to introduce school students to issues about philosophy of science, and I show how COVID-19 has the affordance to broaden and deepen the moral philosophy that students typically meet in biology lessons. COVID-19 also provides opportunities to introduce students to sociological ways of thinking, examining data and questioning human practices. It can also enable students to see how science, economics and politics inter-relate. In the final part of the paper, I suggest that there are strong arguments in favour of an interdisciplinary approach in tackling zoonoses like COVID-19 and that there is much to be said for such interdisciplinarity in school science lessons when teaching about socio-scientific issues and issues intended to raise scientific literacy."
"Academic Air Travel: Debates, Tensions and the Need for a Sociology of Science Perspective","S Rödder, M Braun",0,2024,Sociology Compass,"Traveling to conferences is a central feature of academic life. Yet recently, academic air travel has been called into question in the context of climate change, and the digital transformation has facilitated the spread of virtual alternatives to face‐to‐face meetings. The near‐total halt in air travel associated with the COVID‐19 pandemic has solidified the use of technologies of virtual meetings. However, the return to in‐person conferences after the pandemic suggests that these are not as easily replaced by virtual alternatives as is sometimes assumed. While this is increasingly coming into focus in the behavioral sciences, the sociology of science is largely absent in this debate. As a first step toward bringing this debate into conversation with the sociology of science, this review article examines the literature on academic air travel for key tensions, current debates and politicizations. It concludes that academic conference travel is an emerging, timely and relevant, yet under‐studied area of interest for sociologists of science, and suggests some avenues for future inquiry."
