record_id,split,split_version,split_seed,same_article_group
muestras:Muestras:11,test,phase2_v1,20260416,doi:10.1007/978-94-007-7654-8_58
muestras:Muestras:23,test,phase2_v1,20260416,doi:10.1007/978-981-97-9049-4
muestras:Muestras:24,test,phase2_v1,20260416,doi:10.1007/978-981-99-7188-6
muestras:Muestras:45,test,phase2_v1,20260416,doi:10.1016/j.socscimed.2013.02.035
muestras:Muestras:18,test,phase2_v1,20260416,doi:10.1023/a:1012714020453
muestras:Muestras:19,test,phase2_v1,20260416,doi:10.1057/s41292-017-0047-2
muestras:Muestras:66,test,phase2_v1,20260416,doi:10.1111/j.1365-2729.2011.00406.x
muestras:Muestras:2,test,phase2_v1,20260416,doi:10.1111/jssr.12849
muestras:Muestras:62,test,phase2_v1,20260416,doi:10.1146/annurev-lawsocsci-041822-041426
muestras:Muestras:79,test,phase2_v1,20260416,doi:10.1177/13505084251321024
muestras:Muestras:78,test,phase2_v1,20260416,doi:10.1371/journal.pone.0228613
muestras:Muestras:68,test,phase2_v1,20260416,doi:10.1484/j.cnt.5.131461
muestras:Muestras:40,test,phase2_v1,20260416,doi:10.4324/9780367823276
muestras:Muestras:54,test,phase2_v1,20260416,doi:10.4324/9780429437069-17
muestras:Muestras:88,test,phase2_v1,20260416,doi:10.4324/9781003454113
seed:Clasificados:47,test,phase2_v1,20260416,title_year:a new political sociology of science:2021
seed:Clasificados:3,test,phase2_v1,20260416,title_year:benefits motivations and challenges of international collaborative research a sociology of science case study:2021
seed:Clasificados:70,test,phase2_v1,20260416,title_year:chapter 4 measuring the quality of sociological research problems in the use of the science citation index 1971:2024
muestras:Muestras:25,test,phase2_v1,20260416,title_year:epidemiology and policy the post war context:2002
seed:Clasificados:27,test,phase2_v1,20260416,title_year:experimentation in the sociology of science representational and generative registers in the imitation game:2019
muestras:Muestras:70,test,phase2_v1,20260416,title_year:fleck anatomical drawings and early modern history:2008
seed:Clasificados:12,test,phase2_v1,20260416,title_year:meaning at the planck scale contextualized word embeddings for doing history philosophy and sociology of science:2024
seed:Clasificados:2,test,phase2_v1,20260416,title_year:scientific writing as a social act a review of the literature of the sociology of science:2019
seed:Clasificados:49,test,phase2_v1,20260416,title_year:the sociology of science in africa:0
muestras:Muestras:42,train,phase2_v1,20260416,doi:10.1007/978-3-031-07877-4_2
muestras:Muestras:5,train,phase2_v1,20260416,doi:10.1007/s12304-021-09436-w
muestras:Muestras:58,train,phase2_v1,20260416,doi:10.1016/0048-7333(96)00882-7
muestras:Muestras:26,train,phase2_v1,20260416,doi:10.1016/j.jenvman.2016.10.006
muestras:Muestras:84,train,phase2_v1,20260416,doi:10.1016/j.sftr.2025.100451
muestras:Muestras:37,train,phase2_v1,20260416,doi:10.1016/j.shpsc.2009.09.005
muestras:Muestras:100,train,phase2_v1,20260416,doi:10.1017/9789382264965.013
muestras:Muestras:99,train,phase2_v1,20260416,doi:10.1057/s41267-020-00392-0
muestras:Muestras:53,train,phase2_v1,20260416,doi:10.1057/s41599-022-01138-z
muestras:Muestras:33,train,phase2_v1,20260416,doi:10.1057/s41599-022-01435-7
muestras:Muestras:9,train,phase2_v1,20260416,doi:10.1080/0007131022000000563
muestras:Muestras:76,train,phase2_v1,20260416,doi:10.1080/01436597.2020.1807929
muestras:Muestras:56,train,phase2_v1,20260416,doi:10.1080/02635140600811668
muestras:Muestras:92,train,phase2_v1,20260416,doi:10.1080/02698590802280878
