record_id,source_dataset,source_sheet,title,abstract,year,doi,label_original,label_canonica,canonical_id,mapping_status,mapping_notes,review_required
seed:Clasificados:8,seed,Clasificados,The emergence of technoscientific fields and the new political sociology of science,"Although use of the term synthetic biology in the scientific literature dates back to the early twentieth century, contemporary synthetic biology started to bloom around the turn of the new millennium and has been presented as novel—perhaps even revolutionary—and ‘cool’. Like most emerging fields, synthetic biology has been defined in numerous different ways by members of a self-selected community in the making. The European Commission (EC) opinion on synthetic biology (2014) identifies 35 published definitions and proposes the following:‘SynBio is the application of science, technology and engineering to facilitate and accelerate the design, manufacture and/or modification of genetic materials in living organisms (p5)’. Synthetic biologists suggest that compared to modern biotechnology (eg genetic engineering, genomics, high throughput biology, etc.), the epistemic novelty of synthetic biology (Synbio) lies in the systematic use of engineering approaches to intentionally design artificial organisms. Among the numerous analyses of Synbio, many focus on the role of actors active in the field’s construction. The American civil engineer Drew Endy, who originally summarised Synbio as aimed ‘to make biology easier to engineer’, is often invoked as the heroic entrepreneur who played a key role in the emergence of this new field (Campos 2013). Social scientists have investigated the emergence of Synbio using mostly ethnographic approaches or in collaborations with Synbio scientists. The field of enquiry then becomes the (American) lab and/or boundary spaces such as the International Genetically Engineered Machine (iGEM) competition, a very popular",2021,,Tipo 4 CM ,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:16,seed,Clasificados,SOCIOLOGY OF SCIENCE AND TECHNOLOGY,"… is to demonstrate that sociology of science/technology is addressing a set of questions central to all sociology. In this selection of research from the ""new"" sociology of science, Social …",2022,,No,,,sin_etiqueta,Explicitly marked as not labeled; exclude from gold and keep review-visible.,True
seed:Clasificados:17,seed,Clasificados,Introduction: A cultural sociology of the authority of science,"This chapter introduces a cultural-sociological account of contemporary contestations of the authority of science—contestations that suggest a decline in the authority of science and religion alike (‘postmodernization’) rather than its shift from religion to science (‘modernization’). This is why theoretical inspiration is sought from theories about the authority of religion. Informed by the theory of secularization, Part I discusses the erosion of the authority of science vis-à-vis other social realms. Informed by classical sociological theories about the social significance of religion, Part II then addresses the role of cultural worldviews in denying the authority of scientific truth claims. Informed by theories about the declining authority of religious institutions, finally, Part III argues that scientific institutions rather than science per se are losing their authority.",2021,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:20,seed,Clasificados,The sociology of the scientific community,Over the last decade and a half the sociology of the scientific community has become inseparable from the sociology of the products of that community-namely scientific knowledge. For epistemological reasons it had been previously assumed that there was nothing of interest which sociologists could say about scientific knowledge. That has all changed. Undoubtedly the major development in the field of sociology of science has been the emergence of the sociology of scientific knowledge.,2020,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:29,seed,Clasificados,"“Social Priming” Through the Lens of Sociology of Science: Fuzzy Boundary, Personal Experience, and Broader Atmosphere","Sherman and Rivers (this issue) provide a helpful recent-historical perspective on the term “social priming” and the body of work it’s supposed to label. They put their finger on experimental design (between-subjects vs. within-subject)—rather than the presence or absence of social content in the study—as the key determinant of whether other scientists and journalists consider a particular finding to be inside or outside the scope of social priming. They also make it clear that substantially different sample sizes are required to achieve the same level of statistical power (80%) in betweensubjects and within-subject experiments examining the same phenomenon of interest. Statistics aside, their primary conclusion is that “there’s nothing social about social priming” and that “it is well past time to finally put to rest the label ‘social priming.’” I argue that there is something social about social priming, but more importantly, that there is something sociological about the story of social priming, rendering the label unlikely to be put to rest. I propose that the label as used by observers has a fuzzy boundary that is more determined by family resemblance than clear-cut criteria. I will also share my personal experience as a recipient of Kahneman’s letter and a researcher in a related area of work with another stigmatized label, embodied cognition. I will conclude by reflecting on the broader atmosphere of our field for researchers of social priming and related topics.",2021,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:38,seed,Clasificados,Strong Programme in the Sociology of Scientific Knowledge,"The Strong Programme in the Sociology of Scientific Knowledge, developed in the 1960s at the University of Edinburgh, provides sociological explanations for the achievement of the status of knowledge for certain claims at the expense of others. Often referred to simply as the Strong Programme, Sociology of Scientific Knowledge (SSK), or the Edinburgh School, it is critical of previous sociologies of science that had avoided discussing scientific knowledge itself and focused on the norms and values of science as a career (see for instance Merton, 1942). Such an approach was antithetical to most of the scholarship within the history and philosophy of science of the time, notably the works of Imre Lakatos, who argued that correct knowledge was self-evident and did not require further explanation. Rather, Lakatos claimed, it was incorrect knowledge or unsupported beliefs that required explanation, with social factors impeding knowledge, resulting in bias that lead to incorrect claims. Strong Programmers such as Barry Barnes, David Bloor, and others were critical of such a sociology of error (where only error was explained via sociological explanation) and instead produced a programme for the study of the sociology of scientific knowledge, based on four key tenets: 1. It would be causal, that is, concerned with the conditions that bring about belief or states of knowledge. Naturally, there will be other types of causes apart from social ones which will cooperate in bringing about belief. 2. It would be impartial with respect to truth and falsity, rationality or irrationality, success or failure. Both sides of these dichotomies will require explanation. 3. It would be symmetrical in its style of explanation. The same types of cause would explain, say, true and false beliefs. 4. It would be reflexive. In principle, its patterns of explanations would have to be applicable to sociology itself.(Bloor, 1991, p. 7) This entry explores the transition from weak to strong forms in the sociology of science, before highlighting some of the misunderstandings surrounding the Strong Programme, particularly regarding its relativism and the conventional nature of knowledge. This entry concludes with a discussion of one of the most powerful tools developed by the Strong Programme, finitism (Barnes et al., 1996), which continues to be used to study a range of scientific, technological, and medical practices.",2019,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:40,seed,Clasificados,PERSPECTIVES ON THE SOCIOLOGY OF SCIENCE,… In this paper I argue that the analytic perspective known as the ’sociology of scientific … of science. In particular. I suggest that three pervasive features of academic scientific practice …,0,,No,,,sin_etiqueta,Explicitly marked as not labeled; exclude from gold and keep review-visible.,True
seed:Clasificados:51,seed,Clasificados,"Actor network theory, Bruno Latour, and the CSI","When Nicole Nelson asked me to write a short piece on Latour and my work with him and Michel Callon articulating Actor Network Theory, I have to admit that I was a bit embarrassed, because this is not really how I remember my first years at the Centre de Sociologie de l’Innovation (CSI).
When I arrived at the end of 1983, Bruno Latour had been there at Michel Callon’s invitation for a year, but they had begun their collaboration a few years earlier. They were attempting to evangelize the French social sciences to the emerging field of STS, chiefly by translating and publishing several collections of articles on the history and sociology of science and the history of technology from journals such as Social Studies of Science and Technology and Culture (Callon & Latour, 1982, 1985; Latour, 1985). Their proselytizing did not meet much success, but these collections became canonical for the young researchers transiting through CSI. They had also published their article on Leviathan, which proposed nothing less than to re-found sociology on a new basis (Callon & Latour, 1981).",2023,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:52,seed,Clasificados,Critical feminist history of psychology versus sociology of scientific knowledge: Contrasting views of women scientists?,"With the rise of second-wave feminism, new theoretical perspectives on women scientists began to emerge. By the 1980s and 1990s, 2 contrasting views of women scientists were discernible. Within the former, critical feminist historians rendered more visible and re/placed the lives and achievements of women psychologists within psychology’s history, challenged the “add women and stir” approach to the history of women psychologists, and suggested the need to view history through the lens of women’s distinct experiences within sexist scientific structures. Within the sociology of scientific knowledge, the contributions and experiences of women scientists remained largely ignored in favor of a meritocratic, universalistic, and objectivist image of science, despite recognition of the importance of social relations in scientific knowledge production. Today, a comparative analysis of developments within psychology and the sociology of scientific knowledge suggests a more nuanced, less dichotomous juxtaposition of views. Alongside critical feminist history of psychology, objectivist views of women scientists have also remained evident within related psychological subdisciplines, and the sociology of scientific knowledge has seen the emergence of feminist studies of science, technology, and society, on the borders of more traditional, objectivist views. This article reflects on some of the assumptions underlying different views of women scientists, past and present, within these (sub) disciplines. More broadly, this article examines the relevance of new developments in feminist theory and neoliberalism in theorizing women’s scientific careers, analyzes conceptualizations of gender discrimination and their implications for theory, and considers whether such (sub) disciplinary comparisons remain pertinent to understanding gendered scientific structures.(PsycInfo Database Record (c) 2022 APA, all rights reserved)",2020,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
seed:Clasificados:55,seed,Clasificados,Relativism in the Philosophy of Science,"Summary'Relativism versus absolutism'is one of the fundamental oppositions that have dominated reflections about science for much of its (modern) history. Often these reflections have been inseparable from wider social-political concerns regarding the position of science in society. Where does this debate stand in the philosophy and sociology of science today? And how does the'relativism question'relate to current concerns with'post truth'politics? In Relativism in the Philosophy of Science, Martin Kusch examines some of the most influential …",2020,,Tipo 6 RF,,,revision_manual,Legacy label is unresolved and must stay in manual review.,True
