theme_label,theme_source,record_count,assignment_count
science,tfidf,12,12
sociology,tfidf,8,8
sociology science,tfidf,7,7
philosophy,tfidf,5,5
sts,tfidf,5,5
actor-network theory,keyword,3,3
education,tfidf,3,3
funding,tfidf,3,3
governance,tfidf,3,3
pandemic,tfidf,3,3
religion,tfidf,3,3
science education,tfidf,3,3
science studies,tfidf,3,3
scientific,tfidf,3,3
thinking,tfidf,3,3
1990s,tfidf,2,2
2018,tfidf,2,2
academic,tfidf,2,2
anthropology of science,keyword,2,2
authors,tfidf,2,2
beliefs,tfidf,2,2
bloor,tfidf,2,2
care,tfidf,2,2
categories,tfidf,2,2
collaboration,tfidf,2,2
communication,tfidf,2,2
countries,tfidf,2,2
course,tfidf,2,2
covid 19,tfidf,2,2
cultural studies,keyword,2,2
data,tfidf,2,2
democracy,keyword,2,2
digital,tfidf,2,2
digital humanities,keyword,2,2
discovery,tfidf,2,2
ethnography,keyword,2,2
experts,tfidf,2,2
future,tfidf,2,2
history,tfidf,2,2
industry,tfidf,2,2
information,tfidf,2,2
logic,tfidf,2,2
methods,tfidf,2,2
migration management,keyword,2,2
new,tfidf,2,2
norms,tfidf,2,2
number,tfidf,2,2
problem,tfidf,2,2
programme,tfidf,2,2
public,tfidf,2,2
religious,tfidf,2,2
science religion,tfidf,2,2
science technology,tfidf,2,2
shaping,tfidf,2,2
social,tfidf,2,2
society,tfidf,2,2
strong programme,tfidf,2,2
studies science,tfidf,2,2
technology,tfidf,2,2
weber,tfidf,2,2
work,tfidf,2,2
acceleration,keyword,1,1
accountability labor,keyword,1,1
addiction,keyword,1,1
addressing,tfidf,1,1
advocacy,keyword,1,1
affordance,keyword,1,1
agile project management,keyword,1,1
agriculture,keyword,1,1
alcohol,keyword,1,1
analytical tool,keyword,1,1
anatomy artistic,keyword,1,1
animal,tfidf,1,1
annemarie mol and john law,keyword,1,1
ant,keyword,1,1
anthropology and sociology of science,keyword,1,1
anti-history,keyword,1,1
anti-science,keyword,1,1
argument,tfidf,1,1
argument of pessimistic induction,keyword,1,1
art,tfidf,1,1
arts,tfidf,1,1
assemblages,keyword,1,1
attempts,tfidf,1,1
australia,keyword,1,1
authorship,keyword,1,1
automated vehicles,keyword,1,1
automobility,keyword,1,1
barry barnes,keyword,1,1
beginning english teaching and learning,keyword,1,1
bernard williams,keyword,1,1
bibliometrics,keyword,1,1
bio-objects,keyword,1,1
bioeconomy of meat,keyword,1,1
bioethics,keyword,1,1
biofabrication of meat,keyword,1,1
biology,tfidf,1,1
biomedical research,keyword,1,1
biometrics,keyword,1,1
biopolitics,keyword,1,1
bioprospecting,keyword,1,1
biosecurity,keyword,1,1
biosemiotics,keyword,1,1
book,tfidf,1,1
borders,keyword,1,1
bovine tuberculosis,keyword,1,1
brazil,keyword,1,1
bruno latour,keyword,1,1
